Gender,Marital Status,Age,Education,Income,Occupation,Settlement Size
1,1,39,2,130568,1,2
0,0,29,1,80315,0,0
1,0,35,0,107067,0,0
0,1,56,2,214000,1,0
1,1,45,2,158138,1,2
0,0,40,1,135290,0,0
1,1,49,2,179032,1,0
1,1,53,3,196851,1,2
0,0,40,1,131499,0,0
1,1,54,2,203573,1,0
1,0,31,0,88912,0,0
1,0,41,1,138419,0,0
0,0,32,1,94215,0,0
1,0,26,0,66825,0,0
1,1,44,2,152029,1,2
1,1,50,3,181228,1,2
1,1,49,2,176561,1,0
1,0,28,1,75069,0,0
1,1,48,3,172899,1,2
0,1,45,2,158342,2,2
1,0,32,1,92290,0,0
0,0,35,1,108411,0,0
1,1,54,3,202654,2,2
0,1,39,2,128740,1,2
0,0,31,0,89515,0,0
1,1,35,2,106893,1,2
0,0,33,1,98849,0,0
1,1,48,3,173358,2,0
1,0,45,0,157830,0,0
0,0,29,1,77753,0,0
1,1,41,3,139315,1,2
0,0,28,1,76506,0,0
1,0,36,1,112922,0,0
1,0,26,1,64395,0,0
1,1,37,2,119917,1,0
1,1,43,2,147164,1,2
1,1,45,2,156856,1,0
0,0,32,1,93220,0,0
1,1,54,2,203962,1,2
1,1,34,2,103943,1,2
0,0,28,1,75471,0,1
1,0,34,1,104317,0,0
1,1,40,2,134312,2,0
0,0,32,1,96685,0,0
0,1,45,2,155706,1,0
0,0,32,0,96606,0,0
1,0,36,1,114255,0,0
0,0,36,1,113255,0,0
0,0,32,1,94253,0,0
1,1,40,2,135593,1,2
0,0,28,1,73778,0,0
1,0,36,0,114711,0,0
0,1,42,2,143610,1,2
0,0,24,1,53777,0,0
0,1,52,1,189823,2,2
1,0,26,1,66497,0,0
1,1,49,2,176640,1,2
1,0,40,1,134760,0,0
1,1,59,2,228276,2,2
0,0,36,1,115637,0,0
1,1,41,3,139744,1,2
0,1,49,2,175377,2,2
0,0,37,1,121299,0,0
0,0,36,1,114647,0,0
1,1,49,2,178996,1,2
